pair,session_transition,prior_volatility_regime,next_regime,transition_frequency,avg_next_session_return,avg_next_session_abs_return,next_session_continuation_probability,sample_count,transition_probability,low_sample
ALL,asia_to_london,low_vol,low_vol,622,0.00024729890004492153,0.001206229955955042,0.5594855305466238,3432,0.18123543123543123,False
ALL,asia_to_london,low_vol,medium_vol,1217,1.8085356822317855e-05,0.001766539247405828,0.5505341002465078,3432,0.3546037296037296,False
ALL,asia_to_london,low_vol,high_vol,1593,-0.00024405533011222563,0.002610780332991644,0.5655994978028877,3432,0.46416083916083917,False
ALL,asia_to_london,medium_vol,low_vol,131,0.0003688087323011926,0.0012313623491012988,0.5801526717557252,1318,0.09939301972685888,False
ALL,asia_to_london,medium_vol,medium_vol,382,-8.524187993809439e-05,0.0018471470500359343,0.5732984293193717,1318,0.2898330804248862,False
ALL,asia_to_london,medium_vol,high_vol,805,9.06512552457045e-06,0.002730227825407161,0.5602484472049689,1318,0.6107738998482549,False
ALL,asia_to_london,high_vol,low_vol,42,4.50629642762516e-05,0.0009828366744940183,0.5714285714285714,685,0.061313868613138686,False
ALL,asia_to_london,high_vol,medium_vol,129,3.651276596987231e-05,0.0018699635241144698,0.5968992248062015,685,0.18832116788321168,False
ALL,asia_to_london,high_vol,high_vol,514,-0.00012010529961327327,0.0032236794183808258,0.5894941634241245,685,0.7503649635036497,False
ALL,london_to_new_york,low_vol,low_vol,326,0.0008246816491119747,0.002486583946253247,0.5030674846625767,795,0.410062893081761,False
ALL,london_to_new_york,low_vol,medium_vol,286,0.00045361623131420065,0.0031963276934051663,0.46853146853146854,795,0.35974842767295595,False
ALL,london_to_new_york,low_vol,high_vol,183,-0.0015778140279075598,0.005042158292189362,0.5300546448087432,795,0.23018867924528302,False
ALL,london_to_new_york,medium_vol,low_vol,507,0.0005323721919460202,0.002244517143946415,0.5700197238658777,1727,0.29357266936884774,False
ALL,london_to_new_york,medium_vol,medium_vol,704,0.00011754421648623122,0.003149959300553595,0.4630681818181818,1727,0.40764331210191085,False
ALL,london_to_new_york,medium_vol,high_vol,516,-0.00012583942763222495,0.0044710373799260105,0.5,1727,0.29878401852924147,False
ALL,london_to_new_york,high_vol,low_vol,599,0.00033453435239767034,0.0020683169280859884,0.6043405676126878,2908,0.20598349381017883,False
ALL,london_to_new_york,high_vol,medium_vol,1078,6.353130129398272e-06,0.0033797906220453715,0.5064935064935064,2908,0.3707015130674003,False
ALL,london_to_new_york,high_vol,high_vol,1231,-0.00036627978986136426,0.004823194822865345,0.5312753858651503,2908,0.42331499312242094,False
EURUSD,asia_to_london,low_vol,low_vol,107,-2.96387484897041e-05,0.0011989741383570084,0.5420560747663551,1309,0.08174178762414057,False
EURUSD,asia_to_london,low_vol,medium_vol,533,-2.6373085989696944e-05,0.0015493228100443223,0.5422138836772983,1309,0.40718105423987777,False
EURUSD,asia_to_london,low_vol,high_vol,669,-0.0001273481467582593,0.0022857064559400515,0.5605381165919282,1309,0.5110771581359816,False
EURUSD,asia_to_london,medium_vol,low_vol,6,0.0006934617989592633,0.0017857656970263617,0.5,396,0.015151515151515152,False
EURUSD,asia_to_london,medium_vol,medium_vol,85,-0.00034342192472462424,0.001956787314286965,0.611764705882353,396,0.21464646464646464,False
EURUSD,asia_to_london,medium_vol,high_vol,305,-0.00019864944716139175,0.002520627171691531,0.5672131147540984,396,0.7702020202020202,False
EURUSD,asia_to_london,high_vol,low_vol,1,0.0002241444771258738,0.0002241444771258738,1.0,107,0.009345794392523364,False
EURUSD,asia_to_london,high_vol,medium_vol,12,-0.0013572521144800571,0.002588872734721507,0.9166666666666666,107,0.11214953271028037,False
EURUSD,asia_to_london,high_vol,high_vol,94,-2.9840956975014602e-05,0.0033013059289782693,0.6063829787234043,107,0.8785046728971962,False
EURUSD,london_to_new_york,low_vol,low_vol,31,-0.0004582401222872538,0.0013879030517528971,0.6774193548387096,114,0.2719298245614035,False
EURUSD,london_to_new_york,low_vol,medium_vol,55,-0.00017089096347342687,0.0029164650093420124,0.45454545454545453,114,0.4824561403508772,False
EURUSD,london_to_new_york,low_vol,high_vol,28,-0.0009237586326886732,0.005186579354304899,0.5357142857142857,114,0.24561403508771928,False
EURUSD,london_to_new_york,medium_vol,low_vol,172,3.790536352139414e-05,0.0017279964134949747,0.622093023255814,629,0.27344992050874406,False
EURUSD,london_to_new_york,medium_vol,medium_vol,269,-7.333044080183457e-05,0.0028889689636146286,0.4275092936802974,629,0.4276629570747218,False
EURUSD,london_to_new_york,medium_vol,high_vol,188,0.0005243036110674688,0.003928495729980424,0.48936170212765956,629,0.2988871224165342,False
EURUSD,london_to_new_york,high_vol,low_vol,243,9.906057033813324e-05,0.0014676772870228557,0.6666666666666666,1068,0.22752808988764045,False
EURUSD,london_to_new_york,high_vol,medium_vol,377,-0.0003628874297151295,0.002942517484237609,0.5251989389920424,1068,0.3529962546816479,False
EURUSD,london_to_new_york,high_vol,high_vol,448,-0.0003020673597632077,0.003950400479054162,0.5401785714285714,1068,0.41947565543071164,False
GBPUSD,asia_to_london,low_vol,low_vol,90,0.0003922151183900816,0.0016203472983060325,0.5555555555555556,1335,0.06741573033707865,False
GBPUSD,asia_to_london,low_vol,medium_vol,489,-1.8686911631926314e-05,0.0020302100825267456,0.5644171779141104,1335,0.36629213483146067,False
GBPUSD,asia_to_london,low_vol,high_vol,756,-0.0002955753123849325,0.002856698092280353,0.5661375661375662,1335,0.5662921348314607,False
GBPUSD,asia_to_london,medium_vol,low_vol,7,-0.0010154641281593679,0.0019145376564876778,0.14285714285714285,373,0.01876675603217158,False
GBPUSD,asia_to_london,medium_vol,medium_vol,79,-0.0001101303686640098,0.001955361858476245,0.6329113924050633,373,0.21179624664879357,False
GBPUSD,asia_to_london,medium_vol,high_vol,287,0.00010430289740656115,0.0029983291100612666,0.5505226480836237,373,0.7694369973190348,False
GBPUSD,asia_to_london,high_vol,low_vol,2,-0.000318131490975387,0.0005623759875955589,1.0,103,0.019417475728155338,False
GBPUSD,asia_to_london,high_vol,medium_vol,5,0.000914414867311636,0.0024101056945975098,0.2,103,0.04854368932038835,False
GBPUSD,asia_to_london,high_vol,high_vol,96,-0.00019833021316493875,0.003866356421340344,0.6041666666666666,103,0.9320388349514563,False
GBPUSD,london_to_new_york,low_vol,low_vol,37,-4.328067725558081e-06,0.0027402168009052637,0.5135135135135135,99,0.37373737373737376,False
GBPUSD,london_to_new_york,low_vol,medium_vol,45,0.0007740934660446047,0.0032320201744353164,0.37777777777777777,99,0.45454545454545453,False
GBPUSD,london_to_new_york,low_vol,high_vol,17,0.0005478385008886736,0.0062251127704687605,0.5294117647058824,99,0.1717171717171717,False
GBPUSD,london_to_new_york,medium_vol,low_vol,156,8.90785733145844e-05,0.0022803269218152037,0.5641025641025641,573,0.27225130890052357,False
GBPUSD,london_to_new_york,medium_vol,medium_vol,271,0.00012107599077799131,0.003573245104230282,0.4907749077490775,573,0.47294938917975565,False
GBPUSD,london_to_new_york,medium_vol,high_vol,146,5.003359976350156e-05,0.004636873420532611,0.4657534246575342,573,0.2547993019197208,False
GBPUSD,london_to_new_york,high_vol,low_vol,209,-1.643186359504754e-05,0.0022466657308542865,0.5885167464114832,1136,0.18397887323943662,False
GBPUSD,london_to_new_york,high_vol,medium_vol,475,-0.00010618529211596769,0.0036703777762988232,0.5157894736842106,1136,0.41813380281690143,False
GBPUSD,london_to_new_york,high_vol,high_vol,452,-0.00028360932981827825,0.005184894500079039,0.504424778761062,1136,0.397887323943662,False
USDJPY,asia_to_london,low_vol,low_vol,425,0.0002863338853205463,0.001120361277534808,0.5647058823529412,788,0.5393401015228426,False
USDJPY,asia_to_london,low_vol,medium_vol,195,0.00023181863524759623,0.0016990588511984126,0.5384615384615384,788,0.24746192893401014,False
USDJPY,asia_to_london,low_vol,high_vol,168,-0.0004769600864553035,0.0027986410337371872,0.5833333333333334,788,0.2131979695431472,False
USDJPY,asia_to_london,medium_vol,low_vol,118,0.0004344188308035274,0.0011626449996160865,0.6101694915254238,549,0.21493624772313297,False
USDJPY,asia_to_london,medium_vol,medium_vol,218,2.4443874264668716e-05,0.001765181947613355,0.536697247706422,549,0.3970856102003643,False
USDJPY,asia_to_london,medium_vol,high_vol,213,0.00017817171772685752,0.0026691157629073438,0.5633802816901409,549,0.3879781420765027,False
USDJPY,asia_to_london,high_vol,low_vol,39,5.9096487293011977e-05,0.0010238524070879944,0.5384615384615384,475,0.08210526315789474,False
USDJPY,asia_to_london,high_vol,medium_vol,112,0.00014665265935103603,0.0017688240475100085,0.5803571428571429,475,0.23578947368421052,False
USDJPY,asia_to_london,high_vol,high_vol,324,-0.0001231153505609166,0.0030107353310960317,0.5802469135802469,475,0.6821052631578948,False
USDJPY,london_to_new_york,low_vol,low_vol,258,0.00109772015467928,0.0025822222877547435,0.4806201550387597,582,0.44329896907216493,False
USDJPY,london_to_new_york,low_vol,medium_vol,186,0.0005607475224456592,0.003270447510486439,0.4946236559139785,582,0.31958762886597936,False
USDJPY,london_to_new_york,low_vol,high_vol,138,-0.0019723766659920875,0.004867129191682224,0.5289855072463768,582,0.23711340206185566,False
USDJPY,london_to_new_york,medium_vol,low_vol,179,0.0013938364321445659,0.002709630218192876,0.5251396648044693,525,0.34095238095238095,False
USDJPY,london_to_new_york,medium_vol,medium_vol,164,0.000424789167568077,0.0028785931288474956,0.47560975609756095,525,0.31238095238095237,False
USDJPY,london_to_new_york,medium_vol,high_vol,182,-0.0009385007093647442,0.004898431711031542,0.5384615384615384,525,0.3466666666666667,False
USDJPY,london_to_new_york,high_vol,low_vol,147,0.0012227797141864155,0.0028076402818259004,0.5238095238095238,704,0.20880681818181818,False
USDJPY,london_to_new_york,high_vol,medium_vol,226,0.0008588285355627425,0.0034984767932096927,0.4557522123893805,704,0.3210227272727273,False
USDJPY,london_to_new_york,high_vol,high_vol,331,-0.000566081048542479,0.005510577336239423,0.5558912386706949,704,0.47017045454545453,False
